CustomerID,CustomerName,Gender,Age,Segment,City,State,Country,JoinDate,Email,Phone
1,Advik Maharaj,Male,65,Retail,Delhi,Delhi,India,2020-08-17,advik1@gmail.com,2181960013
2,Hardik Saini,Male,65,Retail,Bengaluru,Karnataka,India,2020-06-02,hardik2@gmail.com,9402654235
3,Praneel Padmanabhan,Male,45,Retail,Chandigarh,Chandigarh,India,2023-09-06,praneel3@gmail.com,0781618495
4,Ishaan Mann,Male,32,Retail,Chennai,Tamil Nadu,India,2019-03-23,ishaan4@gmail.com,1647525534
5,Finn Shere,Male,30,Corporate,Bhopal,Madhya Pradesh,India,2021-10-09,finn5@gmail.com,8350305641
6,Yahvi Randhawa,Female,46,Wholesale,Ahmedabad,Gujarat,India,2026-01-26,yahvi6@gmail.com,2423884969
7,Yatin Chand,Male,62,Retail,Hyderabad,Telangana,India,2024-12-22,yatin7@gmail.com,1226916697
8,Deepa Yadav,Female,31,Online,Bengaluru,Karnataka,India,2024-12-06,deepa8@gmail.com,5146270482
9,Ganga Prakash,Female,23,Retail,Nagpur,Maharashtra,India,2025-01-12,ganga9@gmail.com,8809570154
10,Chaman Sunder,Female,56,Retail,Noida,Uttar Pradesh,India,2025-06-27,chaman10@gmail.com,8227824896
11,Ryan Prakash,Male,52,Retail,Indore,Madhya Pradesh,India,2022-04-10,ryan11@gmail.com,1331509839
12,Jyoti Bir,Female,53,Retail,Pune,Maharashtra,India,2026-04-01,jyoti12@gmail.com,5183473829
13,Tanvi Gupta,Female,30,Corporate,Chandigarh,Chandigarh,India,2019-05-08,tanvi13@gmail.com,6566701065
14,Udarsh Dey,Male,67,Retail,Ahmedabad,Gujarat,India,2022-02-18,udarsh14@gmail.com,4731781080
15,Xavier Srivastava,Male,24,Retail,Ahmedabad,Gujarat,India,2020-05-13,xavier15@gmail.com,0260647468
16,Janani Bhardwaj,Female,28,Retail,Noida,Uttar Pradesh,India,2023-06-22,janani16@gmail.com,5009788208
17,Jacob Raval,Male,62,Online,Surat,Gujarat,India,2019-07-26,jacob17@gmail.com,9909169985
18,Kevin Randhawa,Male,58,Retail,Kochi,Kerala,India,2019-08-29,kevin18@gmail.com,7510799118
19,Owen Biswas,Male,47,Retail,Hyderabad,Telangana,India,2026-01-09,owen19@gmail.com,5427849808
20,Dalbir Chhabra,Male,67,Corporate,Lucknow,Uttar Pradesh,India,2024-11-10,dalbir20@gmail.com,4493534874
21,Anthony Aggarwal,Male,69,Retail,Mumbai,Maharashtra,India,2021-05-20,anthony21@gmail.com,4278680112
22,Upasna Datta,Female,31,Online,Pune,Maharashtra,India,2018-11-25,upasna22@gmail.com,5053315869
23,Triveni Bakshi,Female,59,Retail,Chennai,Tamil Nadu,India,2020-01-27,triveni23@gmail.com,6342160733
24,Jasmit Bajwa,Female,34,Retail,Bengaluru,Karnataka,India,2024-02-28,jasmit24@gmail.com,6541458685
25,Libni Barad,Female,45,Corporate,Chandigarh,Chandigarh,India,2019-06-20,libni25@gmail.com,5569816934
26,Rajata Sankar,Female,32,Online,Noida,Uttar Pradesh,India,2019-02-21,rajata26@gmail.com,9514846564
27,Ranveer Ghosh,Male,49,Retail,Patna,Bihar,India,2023-10-13,ranveer27@gmail.com,6804436995
28,Warjas Gara,Male,27,Wholesale,Nagpur,Maharashtra,India,2024-02-24,warjas28@gmail.com,4895134332
29,Bina Shah,Female,22,Retail,Kochi,Kerala,India,2022-01-26,bina29@gmail.com,6763201632
30,Divya Shan,Female,34,Online,Patna,Bihar,India,2019-09-06,divya30@gmail.com,8895798687
31,Jatin Malhotra,Male,61,Corporate,Nagpur,Maharashtra,India,2025-01-22,jatin31@gmail.com,3471434558
32,Sanaya Dua,Female,25,Retail,Lucknow,Uttar Pradesh,India,2024-07-21,sanaya32@gmail.com,1665876036
33,William Ahuja,Male,18,Online,Indore,Madhya Pradesh,India,2021-07-15,william33@gmail.com,6688937346
34,Tanmayi Gandhi,Female,66,Retail,Patna,Bihar,India,2025-09-11,tanmayi34@gmail.com,2980699016
35,Kalpit Raghavan,Male,58,Retail,Jaipur,Rajasthan,India,2021-05-01,kalpit35@gmail.com,7556464170
36,Bakhshi Baria,Male,41,Corporate,Bengaluru,Karnataka,India,2024-12-17,bakhshi36@gmail.com,3309232719
37,Fiyaz Contractor,Male,38,Retail,Kochi,Kerala,India,2025-02-28,fiyaz37@gmail.com,4190496631
38,Darpan Barman,Male,69,Retail,Noida,Uttar Pradesh,India,2021-07-01,darpan38@gmail.com,5185067165
39,Krishna Yohannan,Male,54,Online,Ahmedabad,Gujarat,India,2025-02-18,krishna39@gmail.com,7694531473
40,Om Balakrishnan,Male,70,Retail,Kolkata,West Bengal,India,2022-10-01,om40@gmail.com,2735454948
41,Jai Ray,Male,60,Retail,Bengaluru,Karnataka,India,2022-09-13,jai41@gmail.com,7770143634
42,Simon Narayanan,Male,51,Corporate,Surat,Gujarat,India,2021-07-16,simon42@gmail.com,4443135182
43,Zaitra Mandal,Female,52,Corporate,Chennai,Tamil Nadu,India,2019-05-27,zaitra43@gmail.com,4352408240
44,Yatan Chauhan,Male,43,Online,Jaipur,Rajasthan,India,2025-12-20,yatan44@gmail.com,9477752047
45,Bina Bera,Female,51,Retail,Indore,Madhya Pradesh,India,2019-11-02,bina45@gmail.com,9413186999
46,Timothy Mishra,Male,22,Retail,Ahmedabad,Gujarat,India,2025-11-11,timothy46@gmail.com,4990913341
47,Farhan Agate,Male,32,Retail,Chandigarh,Chandigarh,India,2022-01-08,farhan47@gmail.com,9740344713
48,Dakshesh Kar,Male,22,Online,Ahmedabad,Gujarat,India,2024-01-21,dakshesh48@gmail.com,4210249947
