SupplierID,SupplierName,ContactPerson,Email,Phone,City,State,Country,LeadTimeDays,PaymentTerms,Rating,Status
1,Elite Choudhury Traders,Anvi Konda,liamchaudry@chahal.com,3389083863,Jaipur,Rajasthan,India,9,Net 15,3.3,Active
2,Vertex Ahuja Industries,Pahal Oak,nachiket35@chanda.com,5940781618,Nagpur,Maharashtra,India,3,Advance,3.2,Active
3,Supreme Handa Traders,Chakradev Kari,fariq31@mall-setty.com,5534192832,Ahmedabad,Gujarat,India,24,Net 60,3.8,Active
4,Smart Kanda Traders,Daksh Karnik,muttinandini@bhatti-kakar.org,3767242388,Pune,Maharashtra,India,24,Net 45,3.7,Active
5,Shree Rastogi Industries,Theodore Devi,wchand@choudhary.com,9166978480,Bengaluru,Karnataka,India,14,Advance,3.7,Active
6,Smart Oak Traders,Chaaya Saran,sudikshaaggarwal@lall.net,4893252880,Surat,Gujarat,India,19,Advance,4.9,Active
7,Vertex Bahl Corporation,Janani Mohanty,dalbirkhosla@brar.com,2782489638,Ghaziabad,Uttar Pradesh,India,20,Net 15,4.4,Active
8,Modern Prakash Corporation,Zansi Seth,kotaumang@nigam.org,9301031051,Bengaluru,Karnataka,India,29,Net 15,4.7,Active
9,Green Sunder Solutions,Kevin Solanki,urvashiray@chandra.biz,6670106513,Pune,Maharashtra,India,13,Net 30,3.4,Active
10,National Sen Wholesale,Pahal Goswami,turvi31@chaudhari-bedi.net,1326773602,Pune,Maharashtra,India,19,Net 15,3.3,Active
11,Vertex Lanka Distributors,Bhavika Sampath,mdubey@kalla-bhardwaj.org,5009788208,Noida,Uttar Pradesh,India,28,Advance,3.5,Active
12,Shree Bir Enterprises,Netra Dar,balveerbumb@virk-mutti.com,5346247510,Jaipur,Rajasthan,India,4,Net 15,4.8,Active
13,Shree Chaudhry Distributors,Tanay Toor,kevin51@pingle.com,8498084124,Kanpur,Uttar Pradesh,India,14,Net 45,3.3,Active
14,Vertex Dugal Retail,Baghyawati Kade,samar48@krishnamurthy-behl.com,4005242786,Jaipur,Rajasthan,India,25,Net 60,3.9,Active
